id_billboard,song_name,artist,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time,type,id,track_href,analysis_url,duration_ms,time_signature
71,Sorry - Originally performed by Beyonce,2016 Dynamo Hitz,,0.699,0.526,2,-13.514,1,0.0373,0.00101,0.00165,0.193,0.148,129.98,audio_features,5rzLBhiS7SJy03ZfcTpUSy,https://api.spotify.com/v1/tracks/5rzLBhiS7SJy03ZfcTpUSy,https://api.spotify.com/v1/audio-analysis/5rzLBhiS7SJy03ZfcTpUSy,232934,4
7,Hello,Adele,"Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt Before the world fell at our feet There's such a difference between us And a million miles Hello from the other side I must have called a thousand times To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town Where nothing ever happened? It's no secret that the both of us Are running out of time So hello from the other side (other side) I must have called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore Hello from the other side (other side) I must have called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore",0.481,0.451,5,-6.095,0,0.0347,0.336,0,0.0872,0.287,157.966,audio_features,4sPmO7WMQUAf45kwMOtONw,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,295493,4
26,Send My Love (To Your New Lover),Adele,"Just the guitar. OK, cool. This was all you, none of it me You put your hands on, on my body and told me Mmm You told me you were ready For the big one, for the big jump I'd be your last love everlasting you and me Mmm That was what you told me I'm giving you up I've forgiven it all You set me free Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more I was too strong, you were trembling You couldn't handle the hot heat rising (rising) Mmm Baby, I'm still rising I was running, you were walking You couldn't keep up, you were falling down (down) Mmm There's only one way down I'm giving you up I've forgiven it all You set me free, oh Send my love to your new lover Treat her better We gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready If you're ready, I'm ready If you're ready, if you're ready We both know we ain't kids no more No, we ain't kids no more I'm giving you up I've forgiven it all You set me free Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready (send my love to your new lover) If you're ready, I'm ready (treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready (send my love to your new lover) If you're ready, I am ready (treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more",0.69,0.524,6,-8.39,0,0.103,0.0415,3.16E-06,0.17,0.561,164.023,audio_features,4BHzQ9C00ceJxfG16AlNWb,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,https://api.spotify.com/v1/audio-analysis/4BHzQ9C00ceJxfG16AlNWb,223080,4
83,When We Were Young,Adele,,0.381,0.594,3,-5.97,1,0.0486,0.348,0,0.0925,0.275,143.86,audio_features,7IWkJwX9C0J7tHurTD7ViL,https://api.spotify.com/v1/tracks/7IWkJwX9C0J7tHurTD7ViL,https://api.spotify.com/v1/audio-analysis/7IWkJwX9C0J7tHurTD7ViL,290907,4
39,Here,Alessia Cara,,0.376,0.81,0,-4.003,1,0.166,0.0844,0,0.073,0.334,123.909,audio_features,664gdARxaClFsoF5SXKOws,https://api.spotify.com/v1/tracks/664gdARxaClFsoF5SXKOws,https://api.spotify.com/v1/audio-analysis/664gdARxaClFsoF5SXKOws,199453,4
36,Dangerous Woman,Ariana Grande,"Oh, yeah Don't need permission Made my decision to test my limits 'Cause it's my business, God as my witness Start what I finished Don't need no hold up Taking control of this kind of moment I'm locked and loaded Completely focused, my mind is open All that you got, skin to skin, oh my God Don't ya stop, boy Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you Makes me wanna do things that I shouldn't Somethin' 'bout, somethin' 'bout, somethin' 'bout Nothing to prove and I'm bulletproof and Know what I'm doing The way we're movin' like introducing Us to a new thing I wanna savor, save it for later The taste of flavor, 'cause I'm a taker 'Cause I'm a giver, it's only nature I live for danger All that you got, skin to skin, oh my God Don't ya stop, boy Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you Makes me wanna do things that I shouldn't Somethin' 'bout, somethin' 'bout, somethin' 'bout you All girls wanna be like that Bad girls underneath, like that You know how I'm feeling inside Somethin' 'bout, somethin' 'bout All girls wanna be like that Bad girls underneath, like that You know how I'm feeling inside Somethin' 'bout, somethin' 'bout Somethin' 'bout you makes me feel like a dangerous woman Somethin' 'bout, somethin' 'bout, somethin' 'bout you Makes me wanna do things that I shouldn't Somethin' 'bout, somethin' 'bout, somethin' 'bout you All girls wanna be like that Bad girls underneath like that You know how I'm feeling inside Somethin' 'bout, somethin' 'bout All girls wanna be like that Bad girls underneath like that You know how I'm feeling inside Somethin' 'bout, somethin' 'bout Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy (somethin' 'bout, somethin' 'bout, somethin' 'bout you) Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy Yeah, there's somethin' 'bout you boy (somethin' 'bout, somethin' 'bout, somethin' 'bout you) ",0.677,0.604,7,-5.32,1,0.0385,0.0612,0,0.353,0.299,134.052,audio_features,2h1IPjP471JJRSShTHRUhi,https://api.spotify.com/v1/tracks/2h1IPjP471JJRSShTHRUhi,https://api.spotify.com/v1/audio-analysis/2h1IPjP471JJRSShTHRUhi,235947,3
51,Into You,Ariana Grande,"I'm so into you, I can barely breathe And all I wanna do is to fall in deep But close ain't close enough 'til we cross the line, hey, yeah So name a game to play, and I'll roll a dice, hey Oh, baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move (woo, oh, oh, oh) Before I make a move (woo, oh, oh, oh) So, baby, come light me up, and maybe I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep it secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you, oh yeah This could take some time, hey I made too many mistakes Better get this right, right, baby Oh, baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move (woo, oh, oh, oh) Before I make a move (woo, oh, oh, oh) So, baby, come light me up, and maybe I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep it secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you Tell me what you came here for? 'Cause I can't, I can't wait no more I'm on the edge with no control And I need, I need you to know You to know, oh So, baby, come light me up, and maybe I'll let you on it A little bit dangerous, but, baby, that's how I want it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you Got everyone watchin' us, so, baby, let's keep it secret A little bit scandalous, but, baby, don't let them see it A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you So come light me up, so come light me up, my baby Little dangerous, a little dangerous, my boy A little less conversation and a little more ""touch my body"" 'Cause I'm so into you, into you, into you ",0.636,0.727,9,-5.852,1,0.106,0.0161,1.12E-06,0.151,0.364,107.988,audio_features,7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/tracks/7yHEDfrJNd0zWOfXwydNH0,https://api.spotify.com/v1/audio-analysis/7yHEDfrJNd0zWOfXwydNH0,244453,4
77,Side To Side,Ariana Grande Nicki Minaj,,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.606,159.145,audio_features,4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,226160,4
35,Don't,Bryson Tiller,"Don't Don't play with her, don't be dishonest Still not understanding this logic Aye, I'm back and I'm better I want you bad as ever Don't let me just let up I wanna give you better Baby, it's whatever Somebody gotta step up Girl, I'm that somebody So I'm next up Be damned if I let him catch up It's easy to see that you're fed up I am on a whole 'nother level Girl, he only fucked you over 'cause you let him Fuck 'em, girl, I guess he didn't know any better Girl, that man didn't show any effort Do all I can just to show you you're special Certain it's your love that holds me together Lately you say he been killing the vibe Gotta be sick of this guy Pull up skirt Get in the ride Left hand is steering, the other is gripping your thigh Light up a spliff and get high Shawty, you deserve what you been missing Looking at you I'm thinking he must be tripping Play this song for him tell him just listen Don't play this song for him. Don't Girl, said he keeps on playing games And his loving ain't the same I don't know what to say-ay but What a shame If you were mine you would not get the same If you were mine you would top everything Suicide in the drop switching lanes And that thang so fire, baby, no propane Got good pussy, girl, can I be frank To keep it 100, girl, I ain't no saint But he the only reason that I'm feeling this way Giving you the world, baby, when you get space Pen game get me laid, baby, that's penetrate Oh, baby Don't play this song for him. Ey H-Town got a nigga so throwed Po' up we can party some mo' Yeah got this drink in my cup Got a young nigga feeling so throwed Spit fire and the world so cold Young money got a nigga feeling old Spit fire and the world so cold H-Town got me feeling so throwed H-Town got me feeling so throwed Raw paint in the sip can it fold H-Town got me feeling so throwed Spit fire and the world so cold H-Town got a nigga so throwed Play this song for em. Don't ",0.765,0.356,11,-5.556,0,0.196,0.222,0,0.0963,0.191,97.001,audio_features,3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,198293,4
53,Exchange,Bryson Tiller,,0.53,0.433,6,-10.598,1,0.185,0.108,0,0.135,0.272,160.14,audio_features,43PuMrRfbyyuz4QpZ3oAwN,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,194613,4
